Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York",1.10.1992,51644,1961 (1930),
INTU,Intuit,Information Technology,Application Software,"Mountain View, California",5.12.2000,896878,1983,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California",2.6.2008,1035267,1995,
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21.8.2008,914208,1935,
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas",19.9.2022,1687229,2012,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29.8.2017,1478242,1982,
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts",6.1.2009,1020569,1951,
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",1.7.2015,728535,1961,
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",18.12.2023,898293,1966,
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",13.11.2018,779152,1976,
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas",26.10.2007,52988,1947,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30.6.1973,200406,1886,
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",27.8.2010,833444,1885,
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York",30.6.1975,19617,2000 (1799 / 1871),
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2.6.2006,1043604,1996,
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",11.9.1989,55067,1906,
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",25.8.2023,1944048,2022 (Johnson & Johnsonspinoff),
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts",21.6.2022,1418135,1981,
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1.3.1994,91576,1825,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",6.11.2018,1601046,2014 (1939),
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",4.3.1957,55785,1872,
KIM,Kimco Realty,Real Estate,Retail REITs,"Jericho, New York",4.4.2006,879101,1958,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25.5.2012,1506307,1997,
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",24.6.2024,1404912,1976,
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California",30.9.1997,319201,1975/1977 (1997),
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",6.7.2015,1637459,2015 (1869),
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio",4.3.1957,56873,1883,
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida",22.9.2008,202058,"2019 (L3 1997, Harris 1895)",
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina",1.11.2004,920148,1978,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",29.6.2012,707549,1980,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",3.12.2018,1679273,2016 (1950),
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",3.10.2019,1300514,1988,
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",9.8.2019,1336920,1969,
LEN,Lennar,Consumer Discretionary,Homebuilding,"Miami, Florida",4.10.2005,920760,1954,
LLY,Lilly (Eli),Health Care,Pharmaceuticals,"Indianapolis, Indiana",31.12.1970,59478,1876,
LIN,Linde plc,Materials,Industrial Gases,"Guildford, United Kingdom",1.7.1992,1707925,1879,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",23.12.2019,1335258,2010,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",23.5.2016,1065696,1998,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,"Bethesda, Maryland",4.3.1957,936468,1995,
L,Loews Corporation,Financials,Multi-line Insurance,"New York City, New York",31.5.1995,60086,1959,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29.2.1984,60667,1904/1946/1959,
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",18.10.2023,1397187,1998,
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",5.9.2012,1489393,2007,
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",23.2.2004,36270,1856,
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,"Houston, Texas",4.3.1957,101778,1887,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1.7.2011,1510295,2009 (1887),
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",1.7.2019,1278021,2000,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",29.5.1998,1048286,1927,
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",31.8.1987,62709,1905,
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2.7.2014,916076,1993,
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",30.6.1981,62996,1929,
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",18.7.2008,1141391,1966,
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",20.9.2021,891103,1986,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",20.3.2003,63754,1889,
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",30.6.1970,63908,1940,
MCK,McKesson Corporation,Health Care,Health Care Distributors,"Irving, Texas",13.1.1999,927653,1833,
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",31.10.1986,1613103,1949,
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",4.3.1957,310158,1891,
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",23.12.2013,1326801,2004,
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",11.12.2000,1099219,1868,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",6.9.2016,1037646,1945,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26.7.2017,789570,1986,
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",7.9.2007,827054,1989,
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",27.9.1994,723125,1978,
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",1.6.1994,789019,1975,
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",2.12.2016,912595,1977,
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",21.7.2021,1682852,2010,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23.12.2013,851968,1878,
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",2.3.2022,1179929,1980,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",30.6.1976,24545,"2005 (Molson 1786, Coors 1873)",
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2.10.2012,1103982,2012,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",12.2.2021,1280452,1997,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",28.6.2012,865752,2012 (1935),
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",1.7.1998,1059556,1909,
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",29.7.1993,895421,1935,
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26.9.2011,1285785,2004 (1865 / 1909),
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",4.3.1957,68505,1928 (2011),
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",4.4.2018,1408198,1969,
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",22.10.2008,1120193,1971,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",25.6.1999,1002047,1992,
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",20.12.2010,1065280,1997,
NEM,Newmont,Materials,Gold,"Denver, Colorado",30.6.1969,1164727,1921,
NWSA,News Corp(Class A),Communication Services,Publishing,"New York City, New York",1.8.2013,1564708,2013 (News Corporation1980),
NWS,News Corp(Class B),Communication Services,Publishing,"New York City, New York",18.9.2015,1564708,2013 (News Corporation1980),
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",30.6.1976,753308,1984 (1925),
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",30.11.1988,320187,1964,
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2.11.2000,1111711,1912,
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",15.2.2022,72331,1935,
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",4.3.1957,702165,1881/1894 (1980),
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",30.1.1998,73124,1889,
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",4.3.1957,1133421,"1994 (Northrop 1939, Grumman 1930)",
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13.10.2017,1513761,2011 (1966),
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",29.1.2010,1013871,1992,
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",30.4.1985,73309,1940,
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",30.11.2001,1045810,1993,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",26.9.2019,906163,1980,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",22.3.2021,1413447,1953,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",27.3.2009,898173,1957,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",4.3.1957,797468,1920,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",9.12.2019,878927,1934,
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",31.12.1997,29989,1986,
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",21.6.2022,1097864,1999,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15.3.2010,1039684,1906,
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",31.8.1989,1341439,1977,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",3.4.2020,1781335,"2020 (1853, United Technologiesspinoff)",
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",31.12.1980,75362,1905,
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",26.7.2017,75677,1959,
PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure,"Denver, Colorado",23.9.2024,1321655,2003,
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",20.6.2023,1327567,2005,
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",30.9.1994,813828,2019 (Paramount Pictures 1912®,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",30.11.1985,76334,1917,
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",1.10.1998,723531,1971,
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",28.1.2020,1590955,1998,
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",20.7.2015,1633917,1998,
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",1.10.2012,77360,1966,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",4.3.1957,77476,1898,
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",4.3.1957,78003,1849,
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",3.10.2022,1004980,1905,
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",31.3.2008,1413329,2008 (1847),
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",1.5.2012,1534701,2012 (1917),
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",4.10.1999,764622,1985,
PNC,PNC Financial Services,Financials,Diversified Banks,"Pittsburgh, Pennsylvania",30.4.1988,713676,1845,
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",7.10.2020,945841,1993,
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",4.3.1957,79879,1883,
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",1.10.2001,922224,1920,
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",22.7.2002,1126328,1879,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",4.3.1957,80424,1837,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",4.8.1997,80661,1937,
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",17.7.2003,1045609,1983,
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",22.7.2002,1137774,1875,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",4.3.1957,788784,1903,
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",20.4.2021,857005,1985,
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",19.8.2005,1393311,1972,
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30.4.1984,822416,1956,
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",11.6.2015,1604778,2015,
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",1.7.2009,1050915,1997,
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",22.7.1999,804328,1985,
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",12.12.2002,1022079,1967,
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2.2.2007,1037038,1967,
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20.3.2017,720005,1962,
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Waltham, Massachusetts",4.3.1957,101829,1922,
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",7.4.2015,726728,1969,
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2.3.2017,910606,1963,
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",1.5.2013,872589,1988,
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",28.8.1998,1281761,1971,
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",5.12.2008,1060391,1998 (1981),
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",26.7.2017,943819,1989,
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",31.5.1985,31791,1937,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",12.3.2000,1024478,1903,
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1.10.2018,84839,1948,
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",23.12.2009,882835,1981,
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",21.12.2009,745732,1982,
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",5.12.2014,884887,1997,
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",4.3.1957,64040,1917,
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",15.9.2008,1108524,1999,
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1.9.2017,1034054,1989,
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",4.3.1957,87347,1926,
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2.7.2012,1137789,1979,
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",17.3.2017,1032208,1998,
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",21.11.2019,1373715,2003,
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",30.6.1964,89800,1866,
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",26.6.2002,1063761,2003,
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",12.3.2015,4127,2002,
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",6.11.2008,91419,1897,
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",8.7.2024,2005951,1934,
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",30.9.1982,91440,1920,
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",1.4.2024,1964738,2023,
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",4.3.1957,92122,1945,
LUV,Southwest Airlines,Industrials,Passenger Airlines,"Dallas, Texas",1.7.1994,92380,1967,
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",30.9.1982,93556,1843,
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",7.6.2000,829224,1971,
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",14.3.2003,93751,1792,
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",22.12.2022,1022671,1993,
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",23.12.2019,1757898,1985,
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",12.12.2000,310764,1941,
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",18.3.2024,1375365,1993,
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",18.11.2015,1601712,2003,
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",16.3.2017,883241,1986,
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",31.12.1986,96021,1969,
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15.7.2019,1283699,1994,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",29.7.2019,1113169,1937,
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",19.3.2018,946581,1993,
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",1.9.2004,1116132,2017,
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",12.10.2022,1389170,2005,
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",31.12.1976,27419,1902,
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",17.10.2011,1385157,2007,
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",22.6.2020,1094285,1960,
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18.1.2019,96943,1943,
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",21.9.2020,97210,1960,
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",21.12.2020,1318605,2003,
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",12.3.2001,97476,1930,
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",31.12.1978,217346,1923,
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",3.8.2004,97745,2006 (1902),
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",30.9.1985,109198,1987,
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",24.1.2014,916365,1938,
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",17.11.2010,1466258,1871,
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",3.6.2016,1260221,1993,
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",21.8.2002,86312,1853,
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",21.1.2021,864749,1978,
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",4.12.1997,92230,1872,
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",22.6.2020,860731,1966,
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",10.8.2005,100493,1935,
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",1.11.1999,36104,1968,
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",18.12.2023,1543151,2009,
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",7.3.2016,74208,1972,
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",18.4.2016,1403568,1990,
UNP,Union Pacific Corporation,Industrials,Rail Transportation,"Omaha, Nebraska",4.3.1957,100885,1862,
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",3.9.2015,100517,1967,
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",22.7.2002,1090727,1907,
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20.9.2014,1067701,1997,
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",1.7.1994,731766,1977,
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20.9.2014,352915,1979,
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",20.12.2002,1035002,1980,
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",4.3.2009,740260,1998,
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",2.10.2023,1967680,2023,
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1.2.2006,1014473,1995,
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",8.10.2015,1442145,1971,
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",30.11.1983,732712,1983 (1877),
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",23.9.2013,875320,1989,
VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",23.4.2004,1792044,1961,
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,"New York City, New York",8.6.2022,1705696,2017,
V,Visa Inc.,Financials,Transaction & Payment Processing Services,"San Francisco, California",21.12.2009,1403161,1958,
VST,Vistra Corp.,Utilities,Electric Utilities,"Irving, Texas",8.5.2024,1692819,2016,
VMC,Vulcan Materials Company,Materials,Construction Materials,"Birmingham, Alabama",30.6.1999,1396009,1909,
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",5.12.2019,11544,1967,
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",30.6.1981,277135,1927,
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",27.2.2019,943452,1999 (1869),
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",31.12.1979,1618921,2014,
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",31.8.1982,104169,1962,
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",30.6.1976,1744489,1923,
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,"New York City, New York",11.4.2022,1437107,2022 (Warner Bros. 1923®,
WM,Waste Management,Industrials,Environmental & Facilities Services,"Houston, Texas",31.8.1998,823768,1968,
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",2.1.2002,1000697,1958,
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",31.10.2008,783325,1896,
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",30.6.1976,72971,1852,
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",30.1.2009,766704,1970,
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",22.5.2020,105770,1923,
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1.7.2009,106040,1970,
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",1.10.1979,106535,1900,
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31.3.1975,107263,1908,
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",5.1.2016,1140536,2016,
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14.11.2008,1174922,2002,
XEL,Xcel Energy,Utilities,Multi-Utilities,"Minneapolis, Minnesota",4.3.1957,72903,1909,
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",1.11.2011,1524472,2011,
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",6.10.1997,1041061,1997,
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23.12.2019,877212,1969,
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",7.8.2001,1136869,1927,
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",21.6.2013,1555280,1952,
