Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",28.8.2018,1596532,2004,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",31.5.2016,354190,1927,
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",10.4.2007,1267238,1892,
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",30.11.1983,732717,1983 (1885),
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",15.2.2019,731802,1906,
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",1.12.1989,769397,1982,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",31.3.1981,8670,1949,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",2.1.1997,866787,1979,
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",10.1.2007,915912,1978,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",31.12.1987,8818,1990,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",4.5.2023,1069183,1993,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7.7.2017,1701605,2017,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",31.10.1984,9389,1880,
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",30.6.1976,70858,1998 (1923 / 1874),
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",30.9.1972,10456,1931,
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30.9.1972,10795,1897,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16.2.2010,1067983,1839,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29.6.1999,764478,1966,
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",30.8.2021,842023,1976,
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",13.11.2003,875045,1978,
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4.4.2011,2012383,1988,
